,,Average Number of Workers Searched,Average Number of Workers Searched,
Original,
,1000,1544.4241546701921,1544.4241546701921,
,10000,20671.796974157685,20671.796974157685,

Separation,
,1000,1.0319326106201798,1.0319326106201798,
,10000,4.850309030641207,4.850309030641207,

Ordering_L_M,
,1000,1.02711341165403,1.02711341165403,
,10000,1.7052014677326428,1.7052014677326428,

Ordering_M_L,
,1000,1.0358850144763876,1.0358850144763876,
,10000,1.47364139716461,1.47364139716461,

Ordering_L_L,
,1000,1.03259604226202,1.03259604226202,
,10000,4.269785734916477,4.269785734916477,

Ordering_M_M,
,1000,1.03067818231247,1.03067818231247,
,10000,1.7222903636326716,1.7222903636326716,

