,,Average Number of Workers Searched,Average Number of Workers Searched,
Original,
,1000,1866.597778572419,1866.597778572419,
,10000,3579.1539820038092,3579.1539820038092,

Separation,
,1000,1.2761386275897804,1.2761386275897804,
,10000,1.1750213458464998,1.1750213458464998,

Ordering_L_M,
,1000,1.2242226098125215,1.2242226098125215,
,10000,1.195236044924797,1.195236044924797,

Ordering_M_L,
,1000,1.2276087543512688,1.2276087543512688,
,10000,1.2695779725459575,1.2695779725459575,

Ordering_L_L,
,1000,1.1991330302344758,1.1991330302344758,
,10000,1.2378328674952017,1.2378328674952017,

Ordering_M_M,
,1000,1.1543541877996628,1.1543541877996628,
,10000,1.263455181020076,1.263455181020076,

