Job ID,Megha Job Completion Time,Sparrow Job Completion Time,Ideal Job Completion Time
1,1492708.0015000002,1492708.0015,1492708.0015000002
2,1495854.0015000002,1495854.0015,1495854.0015000002
3,1476978.0015000002,1476978.0015,1476978.0015000002
4,1490510.0015000002,1490510.0015,1490510.0015000002
5,1487775.0015000002,1487775.0015,1487775.0015000002
6,1477490.0015000002,1477490.0015,1477490.0015000002
7,1477478.0015000002,1477478.0015,1477478.0015000002
8,1477472.0015000002,1477472.0015,1477472.0015000002
9,1478029.0015000002,1478029.0015,1478029.0015000002
10,1478015.0015000002,1478015.0015,1478015.0015000002
11,1478007.0015000002,1478007.0015,1478007.0015000002
12,1489584.0015000002,1489584.0015,1489584.0015000002
13,1489033.0015000002,1489033.0015,1489033.0015000002
14,1488743.0015000002,1488743.0015,1488743.0015000002
15,1479762.0015000002,1479762.0015,1479762.0015000002
16,1476497.0115000005,1476497.0115,1476497.0115000005
17,1499851.0015000002,1499851.0015,1499851.0015000002
18,1472716.0015000002,1472716.0015,1472716.0015000002
19,1479555.0015000002,1479555.0015,1479555.0015000002
20,1472595.0015000002,1472595.0015,1472595.0015000002
21,1477279.0115000005,1477279.0115,1477279.0115000005
22,1472575.0015000002,1472575.0015,1472575.0015000002
23,1472575.0015000002,1472575.0015,1472575.0015000002
24,1472575.0115000005,1472575.0115,1472575.0115000005
25,1477268.0015000002,1477268.0015,1477268.0015000002
26,1487385.0015000002,1487385.0015,1487385.0015000002
27,1477268.0115000005,1477268.0115,1477268.0115000005
28,1474690.0015000002,1474690.0015,1474690.0015000002
29,1474673.0015000002,1474673.0015,1474673.0015000002
30,1474654.0015000002,1474654.0015,1474654.0015000002
31,1476927.0015000002,1476927.0015,1476927.0015000002
32,1476095.0015000002,1476095.0015,1476095.0015000002
33,1473579.0015000002,1473579.0015,1473579.0015000002
34,1473912.0015000002,1473912.0015,1473912.0015000002
35,1472136.0015000002,1472136.0015,1472136.0015000002
36,1474910.0015000002,1474910.0015,1474910.0015000002
37,1474864.0015000002,1474864.0015,1474864.0015000002
38,1474864.0015000002,1474864.0015,1474864.0015000002
39,1474863.0015000002,1474863.0015,1474863.0015000002
40,1472427.0015000002,1472427.0015,1472427.0015000002
41,1484417.0015000002,1484417.0015,1484417.0015000002
42,1484402.0015000002,1484402.0015,1484402.0015000002
43,1484300.0015000002,1484300.0015,1484300.0015000002
44,1484210.0015000002,1484210.0015,1484210.0015000002
45,1475428.0015000002,1475428.0015,1475428.0015000002
46,1472573.0015000002,1472573.0015,1472573.0015000002
47,1472283.0015000002,1472283.0015,1472283.0015000002
48,1472487.0015000002,1472487.0015,1472487.0015000002
49,1472448.0015000002,1472448.0015,1472448.0015000002
50,1472439.0015000002,1472439.0015,1472439.0015000002
51,1473085.0015000002,1473085.0015,1473085.0015000002
52,1499876.0015000002,1499876.0015,1499876.0015000002
53,1479129.0015000002,1479129.0015,1479129.0015000002
54,1472331.0015000002,1472331.0015,1472331.0015000002
55,1473059.0015000002,1473059.0015,1473059.0015000002
56,1472717.0015000002,1472717.0015,1472717.0015000002
57,1478853.0015000002,1478853.0015,1478853.0015000002
58,1472618.0015000002,1476534.0025,1472618.0015000002
59,1473649.0015000002,1473649.0015,1473649.0015000002
60,1472652.0115000005,1472652.0115,1472652.0115000005
61,1488191.0015000002,1488191.0015,1488191.0015000002
62,1473627.0015000002,1473627.0015,1473627.0015000002
63,1473625.0015000002,1473625.0015,1473625.0015000002
64,1487779.0015000002,1487779.0015,1487779.0015000002
65,1488076.0015000002,1488076.0015,1488076.0015000002
66,1472550.0015000002,1472550.0015,1472550.0015000002
67,1472587.0015000002,1472587.0015,1472587.0015000002
68,1474072.0015000002,1476523.0035,1474072.0015000002
69,1472627.0015000002,1474886.0025,1472627.0015000002
70,1472628.0015000002,1474855.0025,1472628.0015000002
71,1472628.0115000005,1474535.0035,1472628.0115000005
72,1472763.0015000002,1472763.0015,1472763.0015000002
73,1472250.0115000005,1472250.0115,1472250.0115000005
74,1472261.0015000002,1474142.0035,1472261.0015000002
75,1485247.0015000002,1487346.0035,1485247.0015000002
76,1485231.0015000002,1485231.0015,1485231.0015000002
77,1485187.0015000002,1487067.0025,1485187.0015000002
78,1474073.0115000005,1476056.0025,1474073.0115000005
79,1472734.0015000002,1472734.0015,1472734.0015000002
80,1472739.0015000002,1474467.0025,1472739.0015000002
81,1473455.0015000002,1475939.0035,1473455.0015000002
82,1472720.0015000002,1472720.0015,1472720.0015000002
83,1472420.0115000005,1484350.0025,1472420.0115000005
84,1472697.0015000002,1472697.0015,1472697.0015000002
85,1472674.0015000002,1474166.0044999998,1472674.0015000002
86,1472306.0015000002,1473672.0035,1472306.0015000002
87,1472278.0015000002,1476026.0035,1472278.0015000002
88,1472374.0015000002,1473691.0025,1472374.0015000002
89,1472400.0015000002,1473754.0025,1472400.0015000002
90,1472442.0015000002,1473708.0025,1472442.0015000002
91,1472417.0015000002,1474915.0125,1472417.0015000002
92,1472551.0015000002,1472551.0015,1472551.0015000002
93,1472558.0015000002,1473694.0035,1472558.0015000002
94,1472402.0115000005,1474815.0125,1472402.0115000005
95,1472563.0015000002,1472563.0015,1472563.0015000002
96,1473315.0115000005,1473315.0115,1473315.0115000005
97,1473364.0215000005,1474464.0025,1473364.0215000005
98,1472404.0315000005,1473505.0025,1472404.0315000005
99,1473648.0015000002,1473648.0015,1473648.0015000002
100,1477548.0115000005,1478663.0025,1477548.0115000005
101,1472529.0015000002,1472529.0015,1472529.0015000002
102,1472545.0015000002,1473530.0025,1472545.0015000002
103,1473612.0015000002,1473612.0015,1473612.0015000002
104,1473610.0015000002,1474713.0025,1473610.0015000002
105,1477489.0015000002,1478836.0054999995,1477489.0015000002
106,1478427.0035000006,1479518.0054999995,1478427.0035000006
107,1474110.0135000006,1476301.0044999998,1474110.0135000006
108,1473119.0035000006,1474434.0035,1473119.0035000006
109,1474173.0035000006,1476415.0054999995,1474173.0035000006
110,1472730.0135000006,1474398.0054999995,1472730.0135000006
111,1474509.0035000006,1485863.0025,1474509.0035000006
112,1472684.015500001,1472148.0015,1472684.015500001
113,1472575.0035000006,1476155.0035,1472575.0035000006
114,1474416.0135000006,1474908.0025,1474416.0135000006
115,1475488.0075000012,1476313.0144999998,1475488.0075000012
116,1510298.0215000035,1499497.0044999998,1510298.0215000035
117,1490224.0035000006,1490607.0035,1490224.0035000006
118,1472733.0135000006,1472248.0015,1472733.0135000006
119,1472615.0035000006,1472880.0035,1472615.0035000006
120,1472567.0135000006,1477216.0074999996,1472567.0135000006
121,1472601.0135000006,1472322.0015,1472601.0135000006
122,1472625.0035000006,1484821.0035,1472625.0035000006
123,1473645.0035000006,1484791.0044999998,1473645.0035000006
124,1473636.0035000006,1474626.0035,1473636.0035000006
125,1473788.0035000006,1477582.0074999996,1473788.0035000006
126,1476536.0135000022,1477918.0035,1476536.0135000022
127,1473994.0095000016,1477903.0054999995,1473994.0095000016
128,1475142.0035000006,1478381.0035,1475142.0035000006
129,1472886.0035000006,1475124.0044999998,1472886.0035000006
130,1475230.0135000006,1475320.0025,1475230.0135000006
131,1472634.0135000006,1473597.0135,1472634.0135000006
132,1472465.0135000006,1475926.0044999998,1472465.0135000006
133,1472475.0035000006,1473452.0135,1472475.0035000006
134,1472381.0035000006,1472334.0125,1472381.0035000006
135,1472537.0035000006,1475695.0044999998,1472537.0035000006
136,1473127.0035000006,1478000.0054999995,1473127.0035000006
137,1473220.0135000006,1475143.0035,1473220.0135000006
138,1472279.0135000006,1481190.0094999997,1472279.0135000006
139,1472534.0035000006,1472401.0015,1472534.0035000006
140,1472517.0135000006,1475829.0064999997,1472517.0135000006
141,1472399.0035000006,1474749.0044999998,1472399.0035000006
142,1472544.0035000006,1475649.0074999996,1472544.0035000006
143,1472548.0135000006,1474306.0044999998,1472548.0135000006
144,1472656.005500001,1477357.0044999998,1472656.005500001
145,1472711.0035000006,1476231.0074999996,1472711.0035000006
146,1472461.0135000006,1477844.0094999997,1472461.0135000006
147,1472671.0035000006,1477558.0044999998,1472671.0035000006
148,1472338.0135000006,1476216.0084999995,1472338.0135000006
149,1472347.0135000006,1476729.0044999998,1472347.0135000006
150,1481735.0135000006,1482170.0054999995,1481735.0135000006
151,1472335.0135000006,1472172.0315,1472335.0135000006
152,1472373.0035000006,1475990.0094999997,1472373.0035000006
153,1472387.0135000006,1472956.0125,1472387.0135000006
154,1473369.0135000006,1484889.0044999998,1473369.0135000006
155,1473113.0195000016,1474245.0025,1473113.0195000016
156,1473260.005500001,1474191.0035,1473260.005500001
157,1473109.0035000006,1483609.0054999995,1473109.0035000006
158,1472597.0135000006,1483791.0074999996,1472597.0135000006
159,1491455.083500012,1477377.0094999997,1491455.083500012
160,1472371.0035000006,1477602.0074999996,1472371.0035000006
161,1472955.005500001,1477871.0174999996,1472955.005500001
162,1472403.015500001,1474018.0044999998,1472403.015500001
163,1481698.0035000006,1486197.0074999996,1481698.0035000006
164,1472380.0175000012,1472738.0125,1472380.0175000012
165,1473141.015500001,1473299.0035,1473141.015500001
166,1473308.0035000006,1487266.0064999997,1473308.0035000006
167,1473356.0075000012,1477890.0074999996,1473356.0075000012
168,1472352.015500001,1473323.0135,1472352.015500001
169,1472372.015500001,1476899.0094999997,1472372.015500001
170,1473294.0335000006,1477820.0054999995,1473294.0335000006
171,1472728.0035000006,1486409.0084999995,1472728.0035000006
172,1472466.0035000006,1472726.0035,1472466.0035000006
173,1472832.0035000006,1477062.0064999997,1472832.0035000006
174,1472494.0035000006,1477191.0104999994,1472494.0035000006
175,1472510.0035000006,1476472.0074999996,1472510.0035000006
176,1472352.0035000006,1473389.0135,1472352.0035000006
177,1472695.0035000006,1475038.0064999997,1472695.0035000006
178,1472781.0135000006,1476413.0074999996,1472781.0135000006
179,1472907.0035000006,1487502.0074999996,1472907.0035000006
180,1472889.0035000006,1477157.0044999998,1472889.0035000006
181,1473343.0035000006,1474156.0035,1473343.0035000006
182,1472435.0035000006,1472852.0035,1472435.0035000006
183,1472456.0175000012,1475760.0044999998,1472456.0175000012
184,1476473.0075000012,1478076.0084999995,1476473.0075000012
185,1472478.0035000006,1477384.0084999995,1472478.0035000006
186,1472379.0135000006,1486881.0044999998,1472379.0135000006
187,1472382.0135000006,1473292.0335,1472382.0135000006
188,1472766.015500001,1475042.0074999996,1472766.015500001
189,1472762.015500001,1475824.0035,1472762.015500001
190,1474720.011500002,1477669.0094999997,1474720.011500002
191,1474409.0135000006,1480417.0084999995,1474409.0135000006
192,1474409.0035000006,1477654.0084999995,1474409.0035000006
