Job ID,Megha Job Completion Time,Sparrow Job Completion Time,Ideal Job Completion Time
1,1492708.0015000002,1492708.0015,1492708.0
2,1495854.0015000002,1495854.0015,1495854.0
3,1476978.0015000002,1476978.0015,1476978.0
4,1490510.0015000002,1490510.0015,1490510.0
5,1487775.0015000002,1487775.0015,1487775.0
6,1477490.0015000002,1477490.0015,1477490.0
7,1477478.0015000002,1477478.0015,1477478.0
8,1477472.0015000002,1477472.0015,1477472.0
9,1478029.0015000002,1478029.0015,1478029.0
10,1478015.0015000002,1478015.0015,1478015.0
11,1478007.0015000002,1478007.0015,1478007.0
12,1489584.0015000002,1489584.0015,1489584.0
13,1489033.0015000002,1489033.0015,1489033.0
14,1488743.0015000002,1488743.0015,1488743.0
15,1479762.0015000002,1479762.0015,1479762.0
16,1476497.0115000005,1476497.0115,1476497.01
17,1499851.0015000002,1499851.0015,1499851.0
18,1472716.0015000002,1472716.0015,1472716.0
19,1479555.0015000002,1479555.0015,1479555.0
20,1472595.0015000002,1472595.0015,1472595.0
21,1477279.0115000005,1477279.0115,1477279.01
22,1472575.0015000002,1472575.0015,1472575.0
23,1472575.0015000002,1472575.0015,1472575.0
24,1472575.0115000005,1472575.0115,1472575.01
25,1477268.0015000002,1477268.0015,1477268.0
26,1487385.0015000002,1487385.0015,1487385.0
27,1477268.0115000005,1477268.0115,1477268.01
28,1474690.0015000002,1474690.0015,1474690.0
29,1474673.0015000002,1474673.0015,1474673.0
30,1474654.0015000002,1474654.0015,1474654.0
31,1476927.0015000002,1476927.0015,1476927.0
32,1476095.0015000002,1476095.0015,1476095.0
33,1473579.0015000002,1473579.0015,1473579.0
34,1473912.0015000002,1473912.0015,1473912.0
35,1472136.0015000002,1472136.0015,1472136.0
36,1474910.0015000002,1474910.0015,1474910.0
37,1474864.0015000002,1474864.0015,1474864.0
38,1474864.0015000002,1474864.0015,1474864.0
39,1474863.0015000002,1474863.0015,1474863.0
40,1472427.0015000002,1472427.0015,1472427.0
41,1484417.0015000002,1484417.0015,1484417.0
42,1484402.0015000002,1484402.0015,1484402.0
43,1484300.0015000002,1484300.0015,1484300.0
44,1484210.0015000002,1484210.0015,1484210.0
45,1475428.0015000002,1475428.0015,1475428.0
46,1472573.0015000002,1472573.0015,1472573.0
47,1472283.0015000002,1472283.0015,1472283.0
48,1472487.0015000002,1472487.0015,1472487.0
49,1472448.0015000002,1472448.0015,1472448.0
50,1472439.0015000002,1472439.0015,1472439.0
51,1473085.0015000002,1473085.0015,1473085.0
52,1499876.0015000002,1499876.0015,1499876.0
53,1479129.0015000002,1479129.0015,1479129.0
54,1472331.0015000002,1472331.0015,1472331.0
55,1473059.0015000002,1473059.0015,1473059.0
56,1472717.0015000002,1472717.0015,1472717.0
57,1478853.0015000002,1478853.0015,1478853.0
58,1472618.0015000002,1476534.0025,1472618.0
59,1473649.0015000002,1473649.0015,1473649.0
60,1472652.0115000005,1472652.0115,1472652.01
61,1488191.0015000002,1488191.0015,1488191.0
62,1473627.0015000002,1473627.0015,1473627.0
63,1473625.0015000002,1473625.0015,1473625.0
64,1487779.0015000002,1487779.0015,1487779.0
65,1488076.0015000002,1488076.0015,1488076.0
66,1472550.0015000002,1472550.0015,1472550.0
67,1472587.0015000002,1472587.0015,1472587.0
68,1474072.0015000002,1476523.0035,1474072.0
69,1472627.0015000002,1474886.0025,1472627.0
70,1472628.0015000002,1474855.0025,1472628.0
71,1472628.0115000005,1474535.0035,1472628.01
72,1472763.0015000002,1472763.0015,1472763.0
73,1472250.0115000005,1472250.0115,1472250.01
74,1472261.0015000002,1474142.0035,1472261.0
75,1485247.0015000002,1487346.0035,1485247.0
76,1485231.0015000002,1485231.0015,1485231.0
77,1485187.0015000002,1487067.0025,1485187.0
78,1474073.0115000005,1476056.0025,1474073.01
79,1472734.0015000002,1472734.0015,1472734.0
80,1472739.0015000002,1474467.0025,1472739.0
81,1473455.0015000002,1475939.0035,1473455.0
82,1472720.0015000002,1472720.0015,1472720.0
83,1472420.0115000005,1484350.0025,1472420.01
84,1472697.0015000002,1472697.0015,1472697.0
85,1472674.0015000002,1474166.0044999998,1472674.0
86,1472306.0015000002,1473672.0035,1472306.0
87,1472278.0015000002,1476026.0035,1472278.0
88,1472374.0015000002,1473691.0025,1472374.0
89,1472400.0015000002,1473754.0025,1472400.0
90,1472442.0015000002,1473708.0025,1472442.0
91,1472417.0015000002,1474915.0125,1472417.0
92,1472551.0015000002,1472551.0015,1472551.0
93,1472558.0015000002,1473694.0035,1472558.0
94,1472402.0115000005,1474815.0125,1472402.01
95,1472563.0015000002,1472563.0015,1472563.0
96,1473315.0115000005,1473315.0115,1473315.01
97,1473364.0215000005,1474464.0025,1473364.02
98,1472404.0315000005,1473505.0025,1472404.03
99,1473648.0015000002,1473648.0015,1473648.0
100,1477548.0115000005,1478663.0025,1477548.01
101,1472529.0015000002,1472529.0015,1472529.0
102,1472545.0015000002,1473530.0025,1472545.0
103,1473612.0015000002,1473612.0015,1473612.0
104,1473610.0015000002,1474713.0025,1473610.0
105,1477489.0015000002,1478836.0054999995,1477489.0
106,1478427.0035000006,1479518.0054999995,1477513.0
107,1474110.0135000006,1476301.0044999998,1473497.0
108,1473119.0035000006,1474434.0035,1472485.0
109,1474173.0035000006,1476415.0054999995,1473493.0
110,1472730.0135000006,1474398.0054999995,1472216.0
111,1474509.0035000006,1485863.0025,1474074.0
112,1472684.015500001,1472148.0015,1472148.0
113,1472575.0035000006,1476155.0035,1472188.0
114,1474416.0135000006,1474908.0025,1474021.0
115,1475488.0075000012,1476313.0144999998,1474045.0
116,1510298.0215000035,1499497.0044999998,1497746.0
117,1490224.0035000006,1490607.0035,1489870.01
118,1472733.0135000006,1472248.0015,1472248.0
119,1472615.0035000006,1472880.0035,1472227.0
120,1472567.0135000006,1477216.0074999996,1472144.0
121,1472601.0135000006,1472322.0015,1472322.0
122,1472625.0035000006,1484821.0035,1472251.0
123,1473645.0035000006,1484791.0044999998,1473383.0
124,1473636.0035000006,1474626.0035,1473349.0
125,1473788.0035000006,1477582.0074999996,1473349.0
126,1476536.0135000022,1477918.0035,1473395.01
127,1473994.0095000016,1477903.0054999995,1473088.0
128,1475142.0035000006,1478381.0035,1474928.0
129,1472886.0035000006,1475124.0044999998,1472661.01
130,1475230.0135000006,1475320.0025,1474965.02
131,1472634.0135000006,1473597.0135,1472423.0
132,1472465.0135000006,1475926.0044999998,1472256.0
133,1472475.0035000006,1473452.0135,1472274.01
134,1472381.0035000006,1472334.0125,1472204.0
135,1472537.0035000006,1475695.0044999998,1472466.0
136,1473127.0035000006,1478000.0054999995,1473065.01
137,1473220.0135000006,1475143.0035,1473035.02
138,1472279.0135000006,1481190.0094999997,1472135.0
139,1472534.0035000006,1472401.0015,1472401.0
140,1472517.0135000006,1475829.0064999997,1472399.0
141,1472399.0035000006,1474749.0044999998,1472309.01
142,1472544.0035000006,1475649.0074999996,1472454.02
143,1472548.0135000006,1474306.0044999998,1472323.0
144,1472656.005500001,1477357.0044999998,1472322.01
145,1472711.0035000006,1476231.0074999996,1472454.02
146,1472461.0135000006,1477844.0094999997,1472261.03
147,1472671.0035000006,1477558.0044999998,1472399.04
148,1472338.0135000006,1476216.0084999995,1472182.0
149,1472347.0135000006,1476729.0044999998,1472197.01
150,1481735.0135000006,1482170.0054999995,1481551.02
151,1472335.0135000006,1472172.0315,1472172.03
152,1472373.0035000006,1475990.0094999997,1472165.04
153,1472387.0135000006,1472956.0125,1472159.0
154,1473369.0135000006,1484889.0044999998,1473205.0
155,1473113.0195000016,1474245.0025,1472883.01
156,1473260.005500001,1474191.0035,1473037.02
157,1473109.0035000006,1483609.0054999995,1472904.03
158,1472597.0135000006,1483791.0074999996,1472419.04
159,1491455.083500012,1477377.0094999997,1472435.0
160,1472371.0035000006,1477602.0074999996,1472191.0
161,1472955.005500001,1477871.0174999996,1472771.0
162,1472403.015500001,1474018.0044999998,1472207.0
163,1481698.0035000006,1486197.0074999996,1481541.0
164,1472380.0175000012,1472738.0125,1472235.0
165,1473141.015500001,1473299.0035,1473022.0
166,1473308.0035000006,1487266.0064999997,1473184.01
167,1473356.0075000012,1477890.0074999996,1473021.0
168,1472352.015500001,1473323.0135,1472235.0
169,1472372.015500001,1476899.0094999997,1472257.0
170,1473294.0335000006,1477820.0054999995,1473168.0
171,1472728.0035000006,1486409.0084999995,1472607.01
172,1472466.0035000006,1472726.0035,1472345.02
173,1472832.0035000006,1477062.0064999997,1472632.0
174,1472494.0035000006,1477191.0104999994,1472388.0
175,1472510.0035000006,1476472.0074999996,1472428.01
176,1472352.0035000006,1473389.0135,1472286.0
177,1472695.0035000006,1475038.0064999997,1472629.01
178,1472781.0135000006,1476413.0074999996,1472629.0
179,1472907.0035000006,1487502.0074999996,1472861.0
180,1472889.0035000006,1477157.0044999998,1472877.0
181,1473343.0035000006,1474156.0035,1473296.0
182,1472435.0035000006,1472852.0035,1472412.01
183,1472456.0175000012,1475760.0044999998,1472392.02
184,1476473.0075000012,1478076.0084999995,1473295.0
185,1472478.0035000006,1477384.0084999995,1472441.01
186,1472379.0135000006,1486881.0044999998,1472343.0
187,1472382.0135000006,1473292.0335,1472354.0
188,1472766.015500001,1475042.0074999996,1472724.0
189,1472762.015500001,1475824.0035,1472718.0
190,1474720.011500002,1477669.0094999997,1472723.0
191,1474409.0135000006,1480417.0084999995,1474388.0
192,1474409.0035000006,1477654.0084999995,1474386.0
193,1472796.0035000006,1477430.0035,1472746.0
194,1473333.005500001,1475396.0144999998,1473314.0
195,1472426.0135000006,1472426.0015,1472426.0
196,1472496.0175000012,1474238.0044999998,1472495.01
197,1472454.0135000006,1473361.0044999998,1472453.0
198,1472508.005500001,1476869.0044999998,1472501.0
199,1472503.005500001,1472496.0115,1472496.01
200,1473187.005500001,1476369.0044999998,1473180.02
201,1472490.015500001,1477662.0044999998,1472465.0
202,1472512.005500001,1478924.0054999995,1472505.0
203,1472493.005500001,1477419.0054999995,1472489.0
204,1472663.005500001,1486611.0094999997,1472659.0
205,1472586.005500001,1478448.0084999995,1472583.01
206,1472613.005500001,1473922.0054999995,1472611.0
207,1472818.005500001,1490735.0074999996,1472815.0
208,1472625.0035000006,1477537.0094999997,1472611.01
209,1472549.005500001,1475242.0154999995,1472546.02
210,1473128.005500001,1474233.0054999995,1473126.0
211,1473356.005500001,1474710.0154999995,1473354.01
212,1474422.005500001,1475352.0064999997,1474420.02
213,1474082.005500001,1477736.0064999997,1474080.03
214,1472761.005500001,1474921.0064999997,1472759.0
215,1479636.0435000055,1477505.0184999995,1472800.0
216,1472729.0075000012,1474720.0074999996,1472729.0
217,1472752.0075000012,1475305.0044999998,1472752.0
218,1472613.0175000012,1474716.0054999995,1472613.0
219,1472585.0175000012,1473383.0025,1472585.01
220,1472585.005500001,1472585.0015,1472585.0
221,1472956.0075000012,1474718.0084999995,1472955.0
222,1472695.0195000016,1474035.0054999995,1472695.0
223,1472739.0095000016,1477964.011499999,1472736.01
224,1472639.0095000016,1476540.0074999996,1472636.02
225,1472595.0095000016,1483669.0035,1472593.0
226,1472611.0075000012,1474454.0044999998,1472608.0
227,1472964.0195000016,1473825.0044999998,1472958.0
228,1472603.0075000012,1473409.0125,1472596.01
229,1472776.021500002,1473906.0044999998,1472771.0
230,1474362.0035000006,1477857.0104999994,1474356.0
231,1473077.011500002,1474469.0035,1473071.01
232,1474028.015500001,1477971.0084999995,1474020.02
233,1473299.0075000012,1477711.0084999995,1473287.03
234,1481898.0295000032,1479195.0064999997,1474383.0
235,1473689.0095000016,1478092.0094999997,1473097.01
236,1483099.0415000052,1479060.0074999996,1474031.02
237,1474052.0075000012,1478549.0054999995,1473302.03
238,1473446.0035000006,1475828.0064999997,1473446.0
239,1472872.0095000016,1476569.0094999997,1472871.0
240,1472935.0035000006,1482650.0084999995,1472928.0
241,1472899.0075000012,1483336.0144999991,1472896.0
242,1473482.035500001,1478466.011499999,1473399.0
243,1473792.0075000012,1478138.0144999991,1473156.01
244,1473386.0075000012,1476079.0064999997,1473386.0
245,1472875.0075000012,1475603.0054999995,1472870.0
246,1472875.005500001,1478422.0084999995,1472866.01
247,1472945.015500001,1484177.0064999997,1472939.0
248,1474600.005500001,1478666.0094999997,1473381.0
249,1472767.0075000012,1476676.0104999994,1472751.0
250,1472888.011500002,1475040.0164999997,1472884.0
251,1472893.005500001,1476903.0194999997,1472885.01
252,1472673.0035000006,1485278.0074999996,1472669.0
253,1472703.0035000006,1482847.0054999995,1472700.0
254,1473059.0035000006,1476169.0044999998,1473049.01
255,1474180.0135000006,1477530.0074999996,1474178.0
256,1474402.005500001,1479888.0074999996,1474201.0
257,1472885.0175000012,1472880.0015,1472880.0
258,1472721.0035000006,1473354.0054999995,1472702.01
259,1473526.0035000006,1476104.0064999997,1473508.02
260,1472856.021500002,1488153.0094999997,1472840.03
261,1472973.005500001,1477865.0084999995,1472856.0
262,1472988.005500001,1474865.0044999998,1472976.0
263,1472723.005500001,1486962.0035,1472722.0
264,1472979.0035000006,1475381.0054999995,1472961.01
265,1472735.0035000006,1479716.0035,1472721.0
266,1472865.0035000006,1478120.0064999997,1472852.01
267,1472871.0035000006,1473812.0044999998,1472871.0
268,1472883.0075000012,1484187.0044999998,1472869.0
269,1472759.0035000006,1473309.0044999998,1472757.0
270,1472798.0035000006,1478272.0084999995,1472788.0
271,1473143.0095000016,1476335.0104999994,1473143.0
272,1472798.0075000012,1474262.0164999997,1472797.0
273,1472891.0235000022,1474554.0044999998,1472889.0
274,1473039.0035000006,1474146.0064999997,1473038.0
275,1472966.0035000006,1473061.0125,1472951.01
