Job ID,Megha Job Completion Time,Sparrow Job Completion Time,Ideal Job Completion Time
1,367531.2015000001,367531.2015,367531.2
2,356223.60150000005,356223.6015,356223.6
3,330575.60150000005,330575.6015,330575.6
4,343415.60150000005,343415.6015,343415.6
5,335185.4015000001,335185.40150000004,335185.4
6,320034.80150000006,320034.8015,320034.8
7,319967.60150000005,319967.6015,319967.6
8,319960.80150000006,319960.8015,319960.8
9,319049.0015000001,319049.0015,319049.0
10,318515.0015000001,318515.0015,318515.0
11,318504.60150000005,318504.6015,318504.6
12,329000.80150000006,329000.8015,329000.8
13,328349.80150000006,328349.8015,328349.8
14,328058.2015000001,328058.2015,328058.2
15,315174.0015000001,315174.0015,315174.0
16,311909.0115000001,311909.0115,311909.01
17,333560.60150000005,333560.6015,333560.6
18,302409.60150000005,302409.6015,302409.6
19,307615.80150000006,307615.8015,307615.8
20,300021.4015000001,300021.40150000004,300021.4
21,304705.4115000001,304705.41150000005,304705.41000000003
22,299956.60150000005,299956.6015,299956.6
23,299955.0015000001,299955.0015,299955.0
24,299955.0115000001,299955.0115,299955.01
25,304636.0015000001,304636.0015,304636.0
26,314752.2015000001,314752.2015,314752.2
27,304635.2115000001,304635.21150000003,304635.21
28,302020.4015000001,302020.40150000004,302020.4
29,301757.80150000006,301757.8015,301757.8
30,301738.0015000001,301738.0015,301738.0
31,303955.0015000001,303955.0015,303955.0
32,303121.4015000001,303121.40150000004,303121.4
33,300187.80150000006,300187.8015,300187.8
34,300035.2015000001,300035.2015,300035.2
35,298204.80150000006,298204.8015,298204.8
36,300736.4015000001,300736.40150000004,300736.4
37,300590.4015000001,300590.40150000004,300590.4
38,300585.60150000005,300585.6015,300585.6
39,300568.60150000005,300568.6015,300568.6
40,297767.0015000001,297767.0015,297767.0
41,309461.80150000006,309461.8015,309461.8
42,309406.80150000006,309406.8015,309406.8
43,309304.0015000001,309304.0015,309304.0
44,309212.4015000001,309212.40150000004,309212.4
45,300279.2015000001,300279.2015,300279.2
46,297242.60150000005,297242.6015,297242.6
47,296951.0015000001,296951.0015,296951.0
48,297103.0015000001,297103.0015,297103.0
49,297003.2015000001,297003.2015,297003.2
50,296992.60150000005,296992.6015,296992.6
51,297605.80150000006,297605.8015,297605.8
52,324168.0015000001,324168.0015,324168.0
53,303413.80150000006,303413.8015,303413.8
54,296577.4015000001,296577.40150000004,296577.4
55,297295.0015000001,297295.0015,297295.0
56,296921.80150000006,296921.8015,296921.8
57,303056.2015000001,303056.2015,303056.2
58,296743.60150000005,296743.6015,296743.6
59,297665.80150000006,297665.8015,297665.8
60,296668.81150000007,296668.8115,296668.81
61,312192.60150000005,312192.6015,312192.6
62,297604.60150000005,297604.6015,297604.6
63,297600.2015000001,297600.2015,297600.2
64,311726.2015000001,311726.2015,311726.2
65,312019.2015000001,312019.2015,312019.2
66,296490.80150000006,296490.8015,296490.8
67,296508.60150000005,296508.6015,296508.6
68,297968.80150000006,297968.8015,297968.8
69,296512.60150000005,296512.6015,296512.6
70,296496.0015000001,296496.0015,296496.0
71,296496.0115000001,296496.0115,296496.01
72,296548.60150000005,296548.6015,296548.6
73,296035.61150000006,296035.6115,296035.61
74,296032.2015000001,296032.2015,296032.2
75,309003.0015000001,309003.0015,309003.0
76,308902.2015000001,308902.2015,308902.2
77,308852.60150000005,308852.6015,308852.6
78,297738.61150000006,297738.6115,297738.61
79,296387.60150000005,296387.6015,296387.6
80,296388.60150000005,296388.6015,296388.6
81,296863.0015000001,296863.0015,296863.0
82,295994.4015000001,295994.40150000004,295994.4
83,295694.4115000001,295694.41150000005,295694.41000000003
84,295907.4015000001,295907.40150000004,295907.4
85,295882.0015000001,295882.0015,295882.0
86,295492.4015000001,295492.40150000004,295492.4
87,295460.4015000001,295460.40150000004,295460.4
88,295513.2015000001,295513.2015,295513.2
89,295536.80150000006,295536.8015,295536.8
90,295498.0015000001,295498.0015,295498.0
91,295416.2015000001,295416.2015,295416.2
92,295523.80150000006,295523.8015,295523.8
93,295494.80150000006,295494.8015,295494.8
94,295338.81150000007,295338.8115,295338.81
95,295483.80150000006,295483.8015,295483.8
96,296235.81150000007,296235.8115,296235.81
97,296284.8215000001,296284.8215,296284.82
98,295324.8315000001,295324.83150000003,295324.83
99,296557.60150000005,296557.6015,296557.6
100,300457.61150000006,300457.6115,300457.61
101,295404.2015000001,295404.2015,295404.2
102,295418.60150000005,295418.6015,295418.6
103,296472.0015000001,296472.0015,296472.0
104,296468.4015000001,296468.40150000004,296468.4
