Job ID,Megha Job Completion Time,Sparrow Job Completion Time,Ideal Job Completion Time
1,34.5285,34.5285,34.527
2,32.093500000000006,32.0935,32.092
3,57.651500000000006,57.6515,57.65
4,32.0055,32.0055,32.004000000000005
5,66.4265,66.4265,66.425
6,70.84750000000001,70.8475,70.846
7,106.16550000000001,106.16550000000001,106.164
8,79.65750000000001,79.6575,79.656
9,119.0805,119.0805,119.079
10,84.5745,84.5745,84.573
11,84.0715,84.0715,84.07
12,89.55250000000001,89.55250000000001,89.551
13,103.0275,103.0275,103.026
14,246.5385,246.5385,246.537
15,118.93650000000001,118.9365,118.935
16,594.4275,594.4275,594.426
17,138.90249999999997,138.9025,138.901
18,634.4985,634.4985,634.4970000000001
19,160.89249999999996,160.89249999999998,160.891
20,169.33849999999995,169.33849999999998,169.337
21,171.80149999999998,171.8015,171.8
22,192.4595,192.4595,192.458
23,215.8405,215.8405,215.839
24,226.23649999999998,226.2365,226.235
25,216.64649999999997,216.6465,216.645
26,220.1025,220.1025,220.101
27,232.6685,232.6685,232.667
28,218.18849999999998,218.1885,218.187
29,248.67849999999999,248.6785,248.677
30,462.22249999999997,462.22249999999997,462.221
31,247.5775,247.5775,247.576
32,297.98349999999994,297.9835,297.98199999999997
33,281.46449999999993,281.4645,281.46299999999997
34,255.0715,255.0715,255.07
35,283.7245,283.7245,283.723
36,275.1355,275.1355,275.134
37,304.5825,304.5825,304.581
38,361.2765,361.27649999999994,361.275
39,339.85249999999996,339.8525,339.851
40,317.34149999999994,317.34149999999994,317.34
41,312.8275,312.8275,312.826
42,642.2225,642.2225000000001,642.221
43,352.71649999999994,352.71649999999994,352.715
44,361.1775,361.17749999999995,361.176
45,343.5935,343.59349999999995,343.592
46,365.2425,365.24249999999995,365.241
47,353.74049999999994,353.74049999999994,353.739
48,399.13349999999997,399.1335,399.132
49,372.5605,372.5605,372.559
50,385.1255,385.1255,385.124
51,439.4715,439.4715,439.47
52,418.9815,418.9815,418.98
53,496.4555,496.4555,496.454
54,450.0225,450.0225,450.021
55,418.5595,418.5595,418.558
56,438.0995,438.0995,438.098
57,479.7075,479.7075,479.706
